Variable,Value
x#1#2#13#4#2#1,0.0
x#1#2#13#4#3#1,0.0
x#1#2#14#3#1#1,0.0
x#1#2#14#3#1#2,0.0
x#1#2#14#3#2#1,0.0
x#1#2#14#3#3#1,0.0
x#1#2#14#4#1#1,0.0
x#1#2#14#4#1#2,0.0
x#1#2#14#4#2#1,0.0
x#1#2#14#4#3#1,0.0
x#1#2#15#3#1#1,0.0
x#1#2#15#3#1#2,0.0
x#1#2#15#3#2#1,0.0
x#1#2#15#3#3#1,0.0
x#1#2#15#4#1#1,0.0
x#1#2#15#4#1#2,0.0
x#1#2#15#4#2#1,0.0
x#1#2#15#4#3#1,0.0
x#1#2#16#3#1#1,0.0
x#1#2#16#3#1#2,0.0
x#1#2#16#3#2#1,0.0
x#1#2#16#3#3#1,0.0
x#1#2#16#4#1#1,0.0
x#1#2#16#4#1#2,0.0
x#1#2#16#4#2#1,0.0
x#1#2#16#4#3#1,0.0
x#1#2#17#3#1#1,0.0
x#1#2#17#3#1#2,0.0
x#1#2#17#3#2#1,0.0
x#1#2#17#3#3#1,0.0
x#1#2#17#4#1#1,0.0
x#1#2#17#4#1#2,0.0
x#1#2#17#4#2#1,0.0
x#1#2#17#4#3#1,0.0
x#1#2#18#3#1#1,0.0
x#1#2#18#3#1#2,0.0
x#1#2#18#3#2#1,0.0
x#1#2#18#3#3#1,0.0
x#1#2#18#4#1#1,0.0
x#1#2#18#4#1#2,0.0
x#1#2#18#4#2#1,0.0
x#1#2#18#4#3#1,0.0
x#1#2#19#3#1#1,0.0
x#1#2#19#3#1#2,0.0
x#1#2#19#3#2#1,0.0
x#1#2#19#3#3#1,0.0
x#1#2#19#4#1#1,0.0
x#1#2#19#4#1#2,0.0
x#1#2#19#4#2#1,0.0
x#1#2#19#4#3#1,0.0
x#1#2#20#3#1#1,0.0
x#1#2#20#3#1#2,0.0
x#1#2#20#3#2#1,0.0
x#1#2#20#3#3#1,0.0
x#1#2#20#4#1#1,0.0
x#1#2#20#4#1#2,0.0
x#1#2#20#4#2#1,0.0
x#1#2#20#4#3#1,0.0
x#1#2#21#3#1#1,0.0
x#1#2#21#3#1#2,0.0
x#1#2#21#3#2#1,0.0
x#1#2#21#3#3#1,0.0
x#1#2#21#4#1#1,0.0
x#1#2#21#4#1#2,0.0
x#1#2#21#4#2#1,0.0
x#1#2#21#4#3#1,0.0
x#1#2#22#3#1#1,0.0
x#1#2#22#3#1#2,0.0
x#1#2#22#3#2#1,0.0
x#1#2#22#3#3#1,0.0
x#1#2#22#4#1#1,0.0
x#1#2#22#4#1#2,0.0
x#1#2#22#4#2#1,0.0
x#1#2#22#4#3#1,0.0
x#1#2#23#3#1#1,0.0
x#1#2#23#3#1#2,0.0
x#1#2#23#3#2#1,0.0
x#1#2#23#3#3#1,0.0
x#1#2#23#4#1#1,0.0
x#1#2#23#4#1#2,0.0
x#1#2#23#4#2#1,0.0
x#1#2#23#4#3#1,0.0
x#1#2#24#3#1#1,0.0
x#1#2#24#3#1#2,0.0
x#1#2#24#3#2#1,0.0
x#1#2#24#3#3#1,0.0
x#1#2#24#4#1#1,0.0
x#1#2#24#4#1#2,0.0
x#1#2#24#4#2#1,0.0
x#1#2#24#4#3#1,0.0
x#1#2#25#3#1#1,0.0
x#1#2#25#3#1#2,0.0
x#1#2#25#3#2#1,0.0
x#1#2#25#3#3#1,0.0
x#1#2#25#4#1#1,0.0
x#1#2#25#4#1#2,0.0
x#1#2#25#4#2#1,0.0
x#1#2#25#4#3#1,0.0
x#1#2#26#3#1#1,0.0
x#1#2#26#3#1#2,0.0
x#1#2#26#3#2#1,0.0
x#1#2#26#3#3#1,0.0
x#1#2#26#4#1#1,0.0
x#1#2#26#4#1#2,0.0
x#1#2#26#4#2#1,0.0
x#1#2#26#4#3#1,0.0
x#1#2#27#3#1#1,0.0
x#1#2#27#3#1#2,0.0
x#1#2#27#3#2#1,0.0
x#1#2#27#3#3#1,0.0
x#1#2#27#4#1#1,0.0
x#1#2#27#4#1#2,0.0
x#1#2#27#4#2#1,0.0
x#1#2#27#4#3#1,0.0
x#1#2#28#3#1#1,0.0
x#1#2#28#3#1#2,0.0
x#1#2#28#3#2#1,0.0
x#1#2#28#3#3#1,0.0
x#1#2#28#4#1#1,0.0
x#1#2#28#4#1#2,0.0
x#1#2#28#4#2#1,0.0
x#1#2#28#4#3#1,0.0
x#1#2#29#3#1#1,0.0
x#1#2#29#3#1#2,0.0
x#1#2#29#3#2#1,0.0
x#1#2#29#3#3#1,0.0
x#1#2#29#4#1#1,0.0
x#1#2#29#4#1#2,0.0
x#1#2#29#4#2#1,0.0
x#1#2#29#4#3#1,0.0
x#1#2#30#3#1#1,0.0
x#1#2#30#3#1#2,0.0
x#1#2#30#3#2#1,0.0
x#1#2#30#3#3#1,0.0
x#1#2#30#4#1#1,0.0
x#1#2#30#4#1#2,0.0
x#1#2#30#4#2#1,0.0
x#1#2#30#4#3#1,0.0
x#1#3#0#3#1#1,0.0
x#1#3#0#3#1#2,0.0
x#1#3#0#3#2#1,0.0
x#1#3#0#3#3#1,0.0
x#1#3#0#4#1#1,0.0
x#1#3#0#4#1#2,0.0
x#1#3#0#4#2#1,0.0
x#1#3#0#4#3#1,0.0
x#1#3#1#3#1#1,0.0
x#1#3#1#3#1#2,0.0
x#1#3#1#3#2#1,0.0
x#1#3#1#3#3#1,0.0
x#1#3#1#4#1#1,0.0
x#1#3#1#4#1#2,0.0
x#1#3#1#4#2#1,0.0
x#1#3#1#4#3#1,0.0
x#1#3#2#3#1#1,0.0
x#1#3#2#3#1#2,0.0
x#1#3#2#3#2#1,0.0
x#1#3#2#3#3#1,0.0
x#1#3#2#4#1#1,0.0
x#1#3#2#4#1#2,0.0
x#1#3#2#4#2#1,0.0
x#1#3#2#4#3#1,0.0
x#1#3#3#3#1#1,0.0
x#1#3#3#3#1#2,0.0
x#1#3#3#3#2#1,0.0
