Variável,Valor
x#1#1#11#5#1#1,0.0
x#1#1#11#5#1#2,0.0
x#1#1#11#5#1#3,0.0
x#1#1#11#5#2#1,0.0
x#1#1#11#5#2#2,0.0
x#1#1#11#5#3#1,0.0
x#1#1#11#5#3#2,0.0
x#1#1#11#5#3#3,0.0
x#1#1#11#5#3#4,0.0
x#1#1#11#5#3#5,0.0
x#1#1#11#3#1#1,0.0
x#1#1#11#3#1#2,0.0
x#1#1#11#3#1#3,0.0
x#1#1#11#3#2#1,0.0
x#1#1#11#3#2#2,0.0
x#1#1#11#3#3#2,0.0
x2#3#1#11#1#1#1,0.0
x2#3#1#11#1#1#2,0.0
x2#3#1#11#1#1#3,0.0
x2#3#1#11#1#2#1,0.0
x2#3#1#11#1#2#2,0.0
Q#1#1#11,0.0
I#1#1#11,0.0
yd#1#1#2#12,0.0
x#1#1#12#5#3#4,0.0
x#1#1#12#5#3#5,0.0
x#1#1#12#5#3#3,0.0
x#1#1#12#5#3#2,0.0
x#1#1#12#5#3#1,0.0
x#1#1#12#5#2#2,0.0
x#1#1#12#5#2#1,0.0
x#1#1#12#5#1#3,0.0
x#1#1#12#5#1#2,0.0
x#1#1#12#5#1#1,0.0
x#1#1#12#4#3#5,0.0
x#1#1#12#4#3#4,0.0
x#1#1#12#4#3#3,0.0
x#1#1#12#4#3#2,0.0
x#1#1#12#4#3#1,0.0
x#1#1#12#4#2#2,0.0
x#1#1#12#4#2#1,0.0
x#1#1#12#4#1#3,0.0
x#1#1#12#4#1#2,0.0
x#1#1#12#4#1#1,0.0
x#1#1#12#3#3#5,0.0
x#1#1#12#3#3#4,0.0
x#1#1#12#3#3#3,0.0
x#1#1#12#3#3#2,0.0
x#1#1#12#3#3#1,0.0
x#1#1#12#3#2#2,0.0
x#1#1#12#3#2#1,0.0
x#1#1#12#3#1#3,0.0
x#1#1#12#3#1#2,0.0
x#1#1#12#3#1#1,0.0
x2#3#1#12#1#1#1,0.0
x2#3#1#12#1#1#2,0.0
x2#3#1#12#1#1#3,0.0
x2#3#1#12#1#2#1,0.0
x2#3#1#12#1#2#2,0.0
Q#1#1#12,0.0
I#1#1#12,0.0
yd#1#1#2#13,0.0
x#1#1#13#3#1#1,0.0
x#1#1#13#3#1#2,0.0
x#1#1#13#3#1#3,0.0
x#1#1#13#3#2#1,0.0
x#1#1#13#3#2#2,0.0
x#1#1#13#3#3#1,0.0
x#1#1#13#3#3#2,0.0
x#1#1#13#3#3#3,0.0
x#1#1#13#3#3#4,0.0
x#1#1#13#3#3#5,0.0
x#1#1#13#4#1#1,0.0
x#1#1#13#4#1#2,0.0
x#1#1#13#4#1#3,0.0
x#1#1#13#4#2#1,0.0
x#1#1#13#4#2#2,0.0
x#1#1#13#4#3#1,0.0
x#1#1#13#4#3#2,0.0
